hold,feature_set,fold,model_kind,threshold_bps,train_candidates,calibration_candidates,test_candidates,selected_trades,selected_expectancy_bps,selected_win_rate,portfolio_return,max_drawdown,test_mae_bps,test_r2,gap_stop_count,symbol_counts
1_session,geometry,4,tree,10.0,1665,417,364,128,54.96796272054846,0.5546875,0.991103539039685,0.06792617038110559,113.5000214088846,0.04623004184263646,2,"{""MSFT"": 43, ""TSLA"": 43, ""AAPL"": 42}"
1_session,geometry,1,tree,15.0,784,197,364,147,15.260922868784695,0.40816326530612246,0.22488287250687744,0.09389957749696151,138.98691045847892,-0.05156925778271537,6,"{""MSFT"": 55, ""AAPL"": 49, ""TSLA"": 43}"
1_session,geometry,2,tree,15.0,1076,269,372,139,0.1456272220859113,0.33093525179856115,-0.02456633470905123,0.22076938284497688,166.8017891466932,-0.0029141326002883883,2,"{""MSFT"": 52, ""TSLA"": 44, ""AAPL"": 43}"
1_session,geometry,3,tree,15.0,1373,344,365,0,,,0.0,0.0,128.78760270596865,-0.051069727315604885,0,{}
1_session,geometry,4,tree,15.0,1665,417,364,123,45.727862790015514,0.5365853658536586,0.7320452382475633,0.06792617038110557,113.5000214088846,0.04623004184263646,3,"{""MSFT"": 42, ""AAPL"": 41, ""TSLA"": 40}"
2_sessions,baseline,1,ridge,5.0,784,197,364,172,24.806459997097907,0.4186046511627907,0.49032666086798193,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
2_sessions,baseline,2,ridge,5.0,1076,269,372,152,12.585777470451069,0.34210526315789475,0.1690963201227238,0.20110873852455627,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 55, ""AAPL"": 51, ""MSFT"": 46}"
2_sessions,baseline,3,ridge,5.0,1373,344,365,94,73.0922438232254,0.5531914893617021,0.9560979139348609,0.042723371498474744,126.6600784190698,-0.029551960651893916,4,"{""TSLA"": 35, ""AAPL"": 32, ""MSFT"": 27}"
2_sessions,baseline,4,ridge,5.0,1665,417,364,135,62.693042737417905,0.5481481481481482,1.2885771059562026,0.052061105720014385,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 52, ""MSFT"": 42, ""AAPL"": 41}"
2_sessions,baseline,1,ridge,10.0,784,197,364,172,24.806459997097907,0.4186046511627907,0.49032666086798193,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
2_sessions,baseline,2,ridge,10.0,1076,269,372,144,12.356025618292598,0.3402777777777778,0.15563943635840527,0.20110873852455607,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 53, ""AAPL"": 48, ""MSFT"": 43}"
2_sessions,baseline,3,ridge,10.0,1373,344,365,56,131.33194479648043,0.6964285714285714,1.060852617100676,0.025156716047134656,126.6600784190698,-0.029551960651893916,4,"{""TSLA"": 22, ""MSFT"": 17, ""AAPL"": 17}"
2_sessions,baseline,4,ridge,10.0,1665,417,364,126,62.16261811580456,0.5555555555555556,1.1529972636250743,0.05206110572001433,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 46, ""MSFT"": 41, ""AAPL"": 39}"
2_sessions,baseline,1,ridge,15.0,784,197,364,171,26.040160151722564,0.42105263157894735,0.518596282282483,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 58, ""AAPL"": 53}"
2_sessions,baseline,2,ridge,15.0,1076,269,372,134,11.228142702559394,0.3358208955223881,0.12601803261730615,0.2109719456036543,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 53, ""AAPL"": 41, ""MSFT"": 40}"
